Data,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
30/12/2007,Normal,9,44,0,13,8,Zhang (2013)
30/12/2007,Normal,4,42,0,4,10,Zhang (2013)
30/5/2007,Normal,2,35,0,3,7,Zhang (2013)
15/9/2010,Normal,15,48,0,5,12,Zhang (2013)
11/3/2010,Normal,2,36,0,21,7,Zhang (2013)
20/9/2009,Normal,0,39,0,7,10,Zhang (2013)
9/3/2009,Normal,0,42,0,1,17,Zhang (2013)
18/8/2007,Normal,0,43,0,1,13,Zhang (2013)
7/2/2007,Normal,0,44,0,2,12,Zhang (2013)
15/11/2010,Normal,10,38,0,2,13,Zhang (2013)
20/5/2010,Normal,27,57,0,2,10,Zhang (2013)
26/11/2009,Normal,0,53,0,2,8,Zhang (2013)
11/5/2009,Normal,3,38,0,4,13,Zhang (2013)
16/6/2008,Normal,2,52,0,4,12,Zhang (2013)
13/12/2007,Normal,0,49,0,1,13,Zhang (2013)
13/9/2010,Normal,5,55,0,2,10,Zhang (2013)
13/3/2010,Normal,0,38,0,1,28,Zhang (2013)
22/9/2009,Normal,0,39,0,1,22,Zhang (2013)
9/3/2009,Normal,4,34,0,0,15,Zhang (2013)
29/5/2009,Normal,2,23,0,0,0,Zhang (2013)
11/11/2008,Normal,3,38,0,4,12,Zhang (2013)
14/5/2008,Normal,4,40,0,2,10,Zhang (2013)
23/11/2007,Normal,0,38,0,2,10,Zhang (2013)
23/11/2007,Normal,0,41,0,1,11,Zhang (2013)
15/5/2007,Normal,0,44,0,0,2,Zhang (2013)
8/5/2009,Normal,0,34,0,1,11,Zhang (2013)
21/1/2008,Normal,17,60,0,2,71,Zhang (2013)
14/5/2009,Normal,11,74,0,2,94,Zhang (2013)
10/10/2008,Normal,13,66,0,3,43,Zhang (2013)
14/4/2008,Normal,3,69,0,2,51,Zhang (2013)
20/10/2007,Normal,2,37,0,2,30,Zhang (2013)
20/10/2007,Normal,2,42,0,2,30,Zhang (2013)
17/4/2007,Normal,14,27,0,1,18,Zhang (2013)
19/3/2010,Normal,8,23,0,0,6,Zhang (2013)
14/9/2009,Normal,0,41,0,0,28,Zhang (2013)
8/3/2009,Normal,3,51,0,2,23,Zhang (2013)
22/1/2009,Normal,3,46,0,2,16,Zhang (2013)
9/10/2008,Normal,0,26,0,2,27,Zhang (2013)
1/4/2008,Normal,0,20,0,1,11,Zhang (2013)
1/4/2008,Normal,0,35,0,1,11,Zhang (2013)
7/9/2007,Normal,4,52,0,2,30,Zhang (2013)
2/5/2009,Normal,0,52,0,3,45,Zhang (2013)
14/10/2008,Normal,0,41,0,1,34,Zhang (2013)
7/4/2008,Normal,0,41,0,1,30,Zhang (2013)
13/10/2007,Normal,0,47,0,1,32,Zhang (2013)
13/10/2007,Normal,8,45,0,24,6,Zhang (2013)
14/4/2007,Normal,10,27,0,17,5,Zhang (2013)
17/6/2010,Normal,15,38,0,21,3,Zhang (2013)
11/12/2009,Normal,4,32,0,23,3,Zhang (2013)
