Id,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
265,1,62,1,0,71,0,CPFL
265,1,17,2,0,75,0,CPFL
266,1,22,0,0,23,0,CPFL
266,1,14,0,0,29,1,CPFL
267,1,11,1,0,25,1,CPFL
267,1,0,3,0,19,0,CPFL
268,1,7,0,0,14,1,CPFL
268,1,9,0,0,14,0,CPFL
269,1,0,3,0,16,0,CPFL
269,1,0,1,0,16,0,CPFL
270,1,0,2,0,9,0,CPFL
270,1,4,0,0,9,0,CPFL
271,1,3,124,0,14,286,CPFL
271,1,0,121,0,14,352,CPFL
272,1,4,72,0,7,199,CPFL
272,1,15,73,0,9,268,CPFL
273,1,2,0,0,1,1,CPFL
273,1,0,7,0,0,0,CPFL
274,1,3,35,0,29,80,CPFL
274,1,23,37,0,21,70,CPFL
275,1,15,27,0,7,54,CPFL
275,1,5,48,0,18,77,CPFL
276,1,33,29,0,6,40,CPFL
276,1,10,29,0,4,45,CPFL
277,1,22,24,0,3,27,CPFL
277,1,4,25,0,5,32,CPFL
278,1,54,65,0,18,117,CPFL
278,1,57,86,0,20,120,CPFL
279,1,57,86,0,20,120,CPFL
279,1,66,72,0,15,118,CPFL
280,1,63,50,0,10,103,CPFL
280,1,42,67,0,11,98,CPFL
281,1,72,81,0,44,124,CPFL
281,1,78,96,0,47,109,CPFL
282,1,0,10,0,20,7,CPFL
282,1,9,0,0,10,2,CPFL
283,1,7,5,0,20,5,CPFL
283,1,7,4,0,22,5,CPFL
284,1,0,9,0,13,4,CPFL
284,1,0,6,0,4,2,CPFL
285,1,4,120,0,12,307,CPFL
285,1,14,123,0,13,303,CPFL
286,1,10,126,0,31,314,CPFL
286,1,11,130,0,16,334,CPFL
287,1,11,64,0,12,161,CPFL
287,1,26,88,0,14,145,CPFL
288,1,3,71,0,10,162,CPFL
288,1,18,60,0,8,145,CPFL
289,1,21,72,0,9,187,CPFL
289,1,18,79,0,13,176,CPFL
290,1,11,240,0,283,169,CPFL
290,1,10,242,0,281,187,CPFL
291,1,12,1,0,30,0,CPFL
291,1,10,0,0,38,1,CPFL
292,1,8,0,0,39,1,CPFL
292,1,0,3,0,29,0,CPFL
293,1,0,1,0,16,0,CPFL
293,1,0,1,0,28,0,CPFL
294,1,25,53,0,8,157,CPFL
294,1,12,66,0,15,191,CPFL
295,1,3,64,0,17,28,CPFL
295,1,14,81,0,18,27,CPFL
296,1,0,51,0,35,12,CPFL
296,1,16,61,0,28,19,CPFL
297,1,0,97,0,30,73,CPFL
297,1,5,94,0,29,69,CPFL
298,1,5,119,0,16,302,CPFL
298,1,8,156,0,17,313,CPFL
299,1,11,131,0,11,324,CPFL
299,1,15,138,0,3,327,CPFL
300,1,2,85,0,6,163,CPFL
300,1,0,134,0,7,315,CPFL
301,1,0,92,0,5,240,CPFL
301,1,0,104,0,2,276,CPFL
302,1,0,104,0,2,276,CPFL
302,1,5,104,0,7,247,CPFL
303,1,4,82,0,12,77,CPFL
303,1,0,100,0,9,91,CPFL
304,1,0,64,0,6,56,CPFL
304,1,0,74,0,6,58,CPFL
305,1,0,57,0,2,16,CPFL
305,1,7,102,0,10,33,CPFL
306,1,0,125,0,3,36,CPFL
306,1,4,193,0,7,67,CPFL
307,1,11,156,0,0,57,CPFL
307,1,8,148,0,4,60,CPFL
308,1,3,24,0,20,6,CPFL
308,1,0,18,0,21,6,CPFL
309,1,0,13,0,21,4,CPFL
309,1,0,26,0,24,6,CPFL
310,1,0,26,0,24,6,CPFL
310,1,5,27,0,22,5,CPFL
311,1,37,45,0,17,12,CPFL
311,1,0,41,0,16,7,CPFL
312,1,10,44,0,27,15,CPFL
312,1,8,52,0,23,11,CPFL
313,1,0,43,0,27,14,CPFL
313,1,3,47,0,24,13,CPFL
314,1,3,101,0,15,310,CPFL
314,1,0,87,0,12,299,CPFL
315,1,5,55,0,62,218,CPFL
315,1,7,86,0,15,228,CPFL
316,1,6,157,0,18,458,CPFL
316,1,4,152,0,20,548,CPFL
317,1,15,77,0,8,114,CPFL
317,1,23,99,0,9,159,CPFL
318,1,12,71,0,6,121,CPFL
